course_id,course_name,provider,location,description,skills
C001,Java Backend Development,SkillSync Academy,Pune,"Backend development using Java and databases","Java;SQL;PostgreSQL"
C002,Full Stack Web Development,SkillSync Academy,Pune,"Modern web development","HTML;CSS;JavaScript;React;Node.js;REST API"
C003,Python Data Analytics,SkillSync Academy,Pune,"Data analysis using Python and SQL","Python;SQL;Pandas;NumPy;Excel"
C004,Cloud and DevOps Fundamentals,SkillSync Academy,Mumbai,"Cloud infrastructure and deployment","Docker;AWS;Linux;Git"
C005,Backend API Development,SkillSync Academy,Nagpur,"API development and server-side programming","Java;REST API;SQL;Spring Boot"
C006,Frontend Development,SkillSync Academy,Pune,"Frontend development using modern frameworks","HTML;CSS;JavaScript;React;Git"
C007,Data Visualization and BI,SkillSync Academy,Mumbai,"Business intelligence and visualization","Excel;Power BI;SQL;Data Visualization"
C008,Machine Learning Fundamentals,SkillSync Academy,Pune,"Machine learning and data science","Python;Pandas;NumPy;Machine Learning"
C009,Cloud Engineering,SkillSync Academy,Nagpur,"Cloud infrastructure and deployment engineering","AWS;Linux;Docker;Kubernetes;Terraform"
C010,NLP and AI Fundamentals,SkillSync Academy,Pune,"Natural language processing and artificial intelligence","Python;Machine Learning;Deep Learning;Natural Language Processing"
